GBIS
Summary for invert_1_2_N
Number of iterations: 1000000
Burning time (n. of iterations): 10000
================================================================================================
MODEL PARAM.      OPTIMAL         MEAN            Median          2.5%            97.5%
           X	  373.519	  380.755	  381.018	  354.851	   405.64
           Y	  397.686	  404.872	  406.127	  370.883	  433.008
           Z	  351.926	  349.972	  349.175	  313.895	  395.202
      omegaX	   -58.81	 -52.5046	 -57.6431	  -87.409	 -2.82744
      omegaY	  5.29663	  5.10232	  5.06512	  2.36372	  7.99571
      omegaZ	  30.7774	  31.1501	  31.1814	  25.2856	  36.8118
         DVx	 -39322.2	 -38555.8	 -38290.2	 -47544.4	 -30830.8
         DVy	 -14388.3	 -13746.4	 -13571.9	 -19449.1	 -9331.97
         DVz	 -10847.4	 -11534.6	   -11589	 -16348.9	 -6442.64
InSAR Const.	 -0.00416501	 -0.00420018	 -0.00420024	 -0.00630066	 -0.00208125
InSAR Const.	 -0.00287982	 -0.00281522	 -0.0028117	 -0.00540018	 -0.000225437
